Subjects,groups,Likelihoods,Weights,Intercept,OI,OIc,Tr,LLabel,Gamma,Phase
26,0,0.024,0.949815639193255,0.00243990448655338,0.968771,0.916692163934426,61,1,1736.11111111111,0
26,0,0.06,0.915771771617598,-0.000878149474343836,0.920687,0.838423607142857,56,2,277.777777777778,0
28,0,0.024,0.965337855242264,0.00413150313245888,0.881428,0.83359601369863,73,1,1736.11111111111,0
28,0,0.06,0.995545640082013,0.00412121140328089,0.859803,0.746976565217391,69,2,277.777777777778,0
30,0,0.024,0.979153323538574,0.000829640371637721,0.983387,0.927940888888889,72,1,1736.11111111111,0
30,0,0.06,0.978016194521005,0.000790790417498647,0.887253,0.758316383561644,73,2,277.777777777778,0
32,0,0.024,0.990503151172925,0.00438087830163978,0.9571765,0.90104730882353,68,1,1736.11111111111,0
32,0,0.06,0.973864913437482,0.00925734500873158,0.916354,0.75694,70,2,277.777777777778,0
40,0,0.024,0.913618440638422,-0.000438865629848779,0.844204,0.83941601369863,73,1,1736.11111111111,0
40,0,0.06,1.01190392162098,-0.000520147538433376,0.845472,0.73436222972973,74,2,277.777777777778,0
44,0,0.024,0.98967359549087,0.000828046838226501,0.9674675,0.911359054054054,74,1,1736.11111111111,0
44,0,0.06,1.00523052087022,0.0038504660086552,0.9390405,0.788670635135135,74,2,277.777777777778,0
46,0,0.024,1.00037776014815,0.000507203147731703,0.9728425,0.894383189189189,74,1,1736.11111111111,0
46,0,0.06,0.993151768733265,-0.000780078468994418,0.936057,0.807753535211268,71,2,277.777777777778,0
48,0,0.024,0.955123934748958,-0.00143328412803741,0.925772,0.858780436619718,71,1,1736.11111111111,0
48,0,0.06,0.981175974147074,0.00741435611590877,0.902904,0.754230895522388,67,2,277.777777777778,0
54,0,0.024,0.996401554562637,0.000291022478119511,0.962715,0.913686281690141,71,1,1736.11111111111,0
54,0,0.06,0.966625086776182,-0.00158089625803504,0.87931,0.785340930555556,72,2,277.777777777778,0
58,0,0.024,1.00671622941707,-0.000101968732687228,0.922902,0.866838890410959,73,1,1736.11111111111,0
58,0,0.06,0.987616298258394,0.0029672497456339,0.910042,0.79850576,75,2,277.777777777778,0
